ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
GIRAUD;5136;GIRAUDIÈRE;47.521253, -0.4360800000000001;;;;0;;Europe/Paris;0
1JE23;24624;JEAN XXIII;47.448607, -0.5629320000000001;;;;0;;Europe/Paris;1
SCHWEI..;14896;SCHWEITZER;47.482622, -0.5222640000000001;;;;0;;Europe/Paris;0
RTEDANGE;6743;ROUTE D'ANGERS;47.425501, -0.5565210000000002;;;;0;;Europe/Paris;1
FRANVILL;15918;VILLON;47.433724, -0.5231510000000001;;;;0;;Europe/Paris;1
BEAUM-E;3588;BEAUMANOIR;47.451305, -0.5107250000000001;;;;0;;Europe/Paris;0
RMOINE-E;32116;ROCHE AUX MOINES;47.39389, -0.6459070000000001;;;;0;;Europe/Paris;0
LAGRANGE;26550;LA GRANGE;47.503282, -0.6324640000000001;;;;0;;Europe/Paris;0
CANTPA-E;936930;PATIS;47.540367, -0.5823750000000001;;;;0;;Europe/Paris;0
LORTIER;323427;L'ORTIER;47.571415, -0.42656;;;;0;;Europe/Paris;0
LEVESQUE;29223;LEVESQUE;47.402198, -0.5334430000000001;;;;0;;Europe/Paris;1
LIZE-E;2010;LIZE;47.486875, -0.5729830000000001;;;;0;;Europe/Paris;1
COTTAG-E;5184;COTTAGE;47.494589, -0.5151340000000001;;;;0;;Europe/Paris;1
VERIGNE;12319;VERIGNE;47.588269, -0.4936780000000001;;;;0;;Europe/Paris;0
BARBOTER;24521;BARBOTTERIE;47.400469, -0.5247690000000002;;;;0;;Europe/Paris;1
BVALLE-E;29950;BASSES VALLEES;47.579055, -0.4996980000000001;;;;0;;Europe/Paris;0
LESLAN-E;8170;ROBINIERES;47.470718, -0.6972470000000001;;;;0;;Europe/Paris;0
WTBO-E;30166;TERRA BOTANICA;47.494206, -0.575096;;;;0;;Europe/Paris;1
1BROY;32629;BOIS DU ROY;47.499605, -0.5831590000000001;;;;0;;Europe/Paris;1
CEEQUEST;14512;CENTRE EQUESTRE;47.45958, -0.4847050000000001;;;;0;;Europe/Paris;1
CORNCROI;650527;CROIX VERTE;47.474177, -0.35473;;;;0;;Europe/Paris;0
2BMAI;28864;BERGES DE MAINE;47.479441, -0.5493700000000001;;;;0;;Europe/Paris;1
POLE49;573557;POLE 49;47.489, -0.4912260000000001;;;;0;;Europe/Paris;1
